name,ring,quadrant,isNew,description
Dianoga,Adopt,Modules,TRUE,"<p><a href=""https://github.com/kamsar/Dianoga"">Dianoga</a> adds improved image optimization and compression to images served out of the media library.</p><p>Dianoga has been around for a while, but only since its v5 release has robust support for serving <em>Webp</em> images to modern browsers (converted out of jpeg) and also has proven support for an integration with any CDN of your choice.</p><p>Setup and integration is straight forward, especially with IaaS setups, but it also works on Azure PaaS. In case you're already extending the media-request handler, you can get integrate the few lines of code for Dianoga into your custom Sitecore solution.</p><p>We think Dianoga is one of the few must-have modules for Sitecore and thus think it deserves a place in the <em>Adopt</em> ring.</p>"
E-Mail Experience Manager,Adopt,Products,TRUE,"<p>The <a href=""https://doc.sitecore.com/users/exm/100/email-experience-manager/en/index-en.html"">Sitecore E-Email Experience Manager (EXM)</a> is Sitecores' fully integrated e-mail marketing solution.</p><p>EXM provides not only the editing interface known from the content management solution, it is also integrated into the List Manager and Marketing Automation for automated mailings. With access to the Experience Profiles, EXM supports personalized and multivariant testing and comes with performance reports to measure the success of your campaigns. With version 10 Sitecore includes a new set of templates ready to be customized for a faster implementation.</p><p>EXM has undergone many renovations since its integration into the core product and although it still has its glitches it's a very effective solution to get up and running with personalized, relevant multi-channel communication with your customers. Be aware that Sitecore requires you to license EXM separately although it comes with the core product.</p><p>With the latest updates we think EXM is ready for the <em>Adopt</em> ring. If you've invested in full Experience Platform, using EXM for your mailings is at hand.</p>"
JSS,Adopt,Products,TRUE,"<p>Sitecore JavaScript Services SDK (JSS) is the JavaScript SDK provided by Sitecore to interact with the Layout Service through JavaScript frameworks. JSS currently ships with support for NextJS, React, Vue and Angular. While React was the first framework JSS supported and today is most likely the most used implementation, the latest addition of Next.js support (which is a React framework itself) is the most interesting combination. JSS is included in the XP license since Sitecore version 10.1.</p><p>Next.js is built around React and solves many things you'd have to take into consideration when deploying a production ready React implementation (like server side rendering for SEO, server-side API implementations, (security) http headers and more). Next.js support is available since <a href=""https://github.com/Sitecore/jss/releases/tag/v16.0.0"">version 16</a> of the JSS SDK.</p><p>Although JSS supports all popular frameworks, we'd suggest to go with NextJS unless you have good reasons for a Vue or Angular implementation as with the underlying React components you'll get the best and longest Support from Sitecore.</p><p>We recommend new Sitecore implementations to go with JSS and therefore add it to the <em>Adopt</em> ring.</p>"
Sitecore Powershell Extensions,Adopt,Modules,TRUE,"<p><a href=""https://doc.sitecorepowershell.com/"">Sitecore Powershell Extensions</a> provides a web-based powershell scripting interface and exposes the Sitecore API (mostly for content) to powershell.</p><p>The module also ships with a good amount of pre-built scripts to analyse, report and manage data in Sitecore. It provides easy to use extension points to build user input dialogs, hook into the content editor via different menues available or simply run ad-hoc scripts against the Sitecore API.SPE also provides a nice API over HTTP for automations during continuous integration and deployment.</p><p>We've put Sitecore Powersehll Extensions in the <em>Adopt</em> ring and think it's an invaluable extension to Sitecore that should not miss from any Sitecore instance.</p>"
Sitecore Error Manager,Adopt,Modules,TRUE,"<p><a href=""https://github.com/unic/SitecoreErrorManager"">Sitecore Error Manager</a> extends Sitecore with a context-aware error handling with a main focus on user and SEO friendly page not found (404) pages.</p><p>The module supports a multi-site, multi-language setup and covers the https errors that typically require friendly feedback to users like page not found or access denied. It also supports custom error messages for assets and generally comes with a variety of configuration options.</p><p>The Sitecore Error Manager is a mature, with support for Sitecore versions up to 9.3 as of this writing. That said, development of the module seems to be held at a minimum to keep it compatible with newer versions of Sitecore. Be aware that the module does not support JSS/headless scenarios.</p><p>We've assigned the module to the <em>Adopt</em> circle, as we still see a relevant amount of deployments running it with MVC based presentation layers.</p>"
Synthesis,Adopt,Tools-And-Libraries,TRUE,"<p><a href=""https://github.com/blipson89/Synthesis"">Synthesis</a> is an item wrapper for Sitecore and provides auto-generated<sup>1</sup> interfaces for item templates and a native integration into the ContentSearch API.</p><p>As Synthesis is not an ORM (like for example Glass Mapper), but rather wraps itself around the Sitecore Item. Synthesis does not add much overhead, is very fast and has a relatively low learning curve. Thanks to a pre-configured code-generation setup with <a href=""https://github.com/blipson89/Leprechaun"">Leprechaun</a>, Synthesis requires almost no boilerplating and no framework specific runtime configurations.</p><p>Unfortunately Synthesis is lacking support for parameter templates, so you'll have to either write your own extension or use the native Sitecore API for parameter templates.</p>"
Analytics Database Manager,Trial,Modules,TRUE,"<p><a href=""https://marketplace.sitecore.net/Modules/A/Analytics_Database_Manager.aspx"">Analytics Database Manager</a> extends Sitecore xConnect data management capabilities by adding a couple of data removal options.</p><p>ADM is around since early versions of Sitecore Analytics (OMS) and still then provides a solution to remove historical data from the analytics database in Sitecore. This is especially usefull since storage consumption is quite excessive on high traffic sites.</p><p>With the latest version ADM supports Sitecore 9.3. and provides the following main features:</p><ul><li>removal of historical data (with a cut off date provided)</li><li>removal of single contacts (useful to support the GDPR process and its ""right to be forgotten"")</li><li>remove contacts with no interactions after a specified date</li></ul><p>While ADM actually started as an open source project on Github, it is no longer maintained in the public, which is a pitty. That said, the friendly maintainers at Sitecore can be reached via e-mail and are happy to receive feedback on the module.</p><p>We've put ADM into the <em>Trial</em> ring to encourage its use when data retention policies on the xConnect databases are due. And we see increasing demand in reducing the amount of data stored in xConnect.</p>"
Headless Architecture,Trial,Techniques,TRUE,"<p>A headless architecture in a content management context is not new. It's a proven and widely accepted architectural pattern with its own pros and cons. But is this a technique that should be persued when creating experiences with Sitecore?</p><p>There are multiple options to consume content through a RESTful API with Sitecore. With the latest addition Sitecore dedicates a full documentation chapter on <a href=""https://doc.sitecore.com/developers/100/developer-tools/en/sitecore-headless-development.html"">headless development with Sitecore</a>. This chapter contains the documentation around the newest kid on the block: the ASP.Net Rendering Host. But there are more options available. Namely the <a href=""https://jss.sitecore.com/"">JavaScript Services (JSS)</a> with client SDKs for multiple popular frameworks, the new <a href=""https://doc.sitecore.com/developers/100/sitecore-experience-manager/en/graphql.html"">GraphQL</a> API but also less widely used options like <a href=""https://doc.sitecore.com/developers/sxa/100/sitecore-experience-accelerator/en/headless.html"">SXA Headless</a> with its own JSON rendering and the <a href=""https://doc.sitecore.com/developers/100/sitecore-experience-manager/en/sitecore-services-client.html"">Sitecore Services Client (SSC)</a>.</p><p>While all approaches provide data (or more specific: content) access over HTTP, JSS is the tool to use to implement a headless website with support for the Experience Editor, personalization and access to ""page"" structures and routing information. The ASP.NET Rendering Host equally allows decoupling the presentation rendering from the content delivery, but does so on the server-side. You then have the option to either respond with HTML pages rendered with a server-side view engine (typically Razor) or a custom implementation of the headless endpoint consumed by your client (most likely running in a browser). Both approaches integrate with the Layout Service that parses the layout details of items and provides access to its datasources.</p><p>If a more data-driven approach is what you're looking for, the GraphQL API might provide just what you need, currently focusing on data-read access. If you're implementation is even more data driven and requires CRUD operations, the Sitecore Services Client might suit you. That said, future development will most likely happen on the GraphQL API with a wide framework support in the JavaScript ecosystem.</p><p>Lastly there's the headless rendering provided by SXA, which should be the last option to take into account with a greenfield solution. That said, it's a nice option if you're already running an SXA site and would like to integrate some of the data through an API. Also note that JSS is supported to run inside an SXA tenant.</p><p>As a conclusion: if your team is ready and the features of the site can benefit from a headless approach, you should certainly consider one of the many options available. Headless is the architecture to move forward, so we're assigning this blip to the <em>Adopt</em> ring. See the Products category for details on specific APIs offered by Sitecore.</p>"
Horizon,Assess,Products,FALSE,"<p><a href=""https://doc.sitecore.com/users/101/sitecore-experience-platform/en/horizon.html"">Horizon</a> is the newest editing interface provided by Sitecore and at some point in the future is going to replace the Content Editor and the Experience Editor as the main editor.</p><p>Horizon provides an easy to use editing interface for authors. Currently suited best for authoring roles with rather limited editing rights. The version available with Sitecore 10 has multi-site and multi-language support but is still lacking many of the features of the standard editing interfaces. Horizon is a .Net Core / Angular based standalone application that must be installed along side the Sitecore CM instance (similar to Identity Server) and integrates with the Sitecore content management server through iFrames and REST API.</p><p>Having an author friendly editing interface that integrates with the data service through a headless backend is a good thing. It allows Sitecore to also ""unwire"" the monolythic Sitecore Kernel and its many UIs surrounding it (ContentEditor, ExperienceEditor, SPEAK apps). That said, keep in mind that the current version still lacks many features of the existing editor tooling and cannot be considered a replacement in every case. Especially surprising is the lack of support for headless scenarios like JSS with Next.js. But it might be the easy to use editor you've been looking for to introduce to your editors. Review your editing requirements to see if Horizon is ready for you.</p><p>Horizon is most likely here to stay and receives updates in the next releases, we therefore put it in the <em>Assess</em> ring.</p>"
Glass Mapper,Hold,Tools-And-Libraries,TRUE,"<p><a href=""https://github.com/mikeedwards83/Glass.Mapper/"">Glass Mapper</a> is an object-relational mapping library for Sitecore. It maps the items and its fields to strongly typed objects and properties. </p><p>Glass Mapper has made ORMs and wrappers popular for Sitecore and is a proven and solid solution running on many Sitecore instances around the globe. </p><p>Version 5 of Glass Mapper introduced many breaking changes and made upgrades from earlier versions a costly investment on larger solutions. More than ever it is absolutely crucial to have good knowledge of the inner workings of the framework to not get trapped in performance pitfalls.</p><p>We see Glass Mapper in the <em>Hold</em> ring as we think there are valid options available that are lightweight and closer to the Sitecore API.</p>"
